Sample,Sample origin,Description,Size (um),Identification
252_1,mussels,clear irregular,50,filter paper 
252_2,mussels,opaque fiber,50,non-microplastic
252_3,mussels,opaque spheroid,25,non-microplastic
252_4,mussels,opaque fragment,75,polystyrene
252_5,mussels,opaque spheroid,50,non-microplastic
252_6,mussels,white spheroid,50,Nylon
252_7,mussels,opaque irregular,50,polystyrene
252_8,mussels,opaque irregular,30,filter paper
252_9,mussels,clear fragment,100,quartz
252_10,mussels,clear fragment,50,quartz
20200824 250_1,mussels,clear fragment,40,non-microplastic
20200824 252_1,mussels,opaque irregular,100,non-microplastic
20200824 272_2,mussels,dark fragment,60,carbon fiber
20200819 93_1,mussels,clear spheroid,30,quartz
20200819 93_2,mussels,clear irregular,100,filter paper
20200819 93_3,mussels,clear shard,25,non-microplastic
20200819 93_4,mussels,clear irregular,100,non-microplastic
20200819 93_5,mussels,clear irregular,50,non-microplastic
20200819 93_6,mussels,clear irregular,100,non-microplastic
20200819 135_1,mussels,dark fiber,50,non-microplastic
2020819 237_1,mussels,clear spheroid,50,non-microplastic
2020819 237_2,mussels,dark shard,150,non-microplastic
2020819 237_3,mussels,clear irregular,50,non-microplastic
2020819 252_1,mussels,opaque spheroid,20,orthoclase
2020819 252_2,mussels,clear irregular,100,polypropylene
2020819 252_3,mussels,dark shard,50,non-microplastic
2020819 252_4,mussels,blue shard,50,ink + plastic
2020819 252_5,mussels,opaque shard,30,non-microplastic
20200818 72_1,mussels,opaque shard,50,filter paper
20200818 72_2,mussels,opaque spheroid,50,non-microplastic
20200818 72_3,mussels,opaque spheroid,50,orthoclase
20200818 72_4,mussels,opaque shard,75,non-microplastic
20200818 72_5,mussels,opaque irregular,25,filter paper
20200818 73_1,mussels,clear spheroid,20,quartz
20200818 74_1,mussels,clear spheroid,60,quartz
20200818 74_2,mussels,dark spheroid,50,carbon fiber
20200817 73_1,mussels,clear spheroid,50,non-microplastic
20200817 73_2,mussels,clear spheroid,50,filter paper
20200817 110_1,mussels,dark spheroid,100,carbon fiber
20200817 110_3,mussels,opaque irregular,100,quartz
20200817 110_4,mussels,dark spheroid,50,carbon fiber
20200817 110_5,mussels,dark fiber,1600,PET
20200817 117_1,mussels,clear spheroid,50,quartz
20200817 117_2,mussels,opaque spheroid,100,quartz
20191004 Set3Sample3_4,orcas,clear sphereoid,100,polyethylene
20191004 Set3Sample3_5,orcas,clear sphereoid,100,polyethylene
20201004 Set3Sample3_6,orcas,clear irregular,45,polyethylene
20201004 Set3Sample3_7,orcas,clear sphereoid,75,polyethylene
20201004 Set3Sample3_8,orcas,clear sphereoid,50,polyethylene
20201004 Set3Sample3_9,orcas,clear sphereoid,175,polyethylene
20201004 Set3Sample3_10,orcas,white opaque irregular,20,fluorescence
20201004 Set3Sample3_11,orcas,clear sphereoid,125,polyethylene
20201004 Set3Sample3_12,orcas,white opaque fiber,1000,fluorescence
20201004 Set7Sample6_1,orcas,darkish irregular,100,non-microplastic
20201004 Set7Sample6_2,orcas,clear irregular,125,non-microplastic
20201004 Set7Sample6_3,orcas,clear irregular,175,non-microplastic
20201004 Set7Sample6_4,orcas,opaque sphereoid,100,non-microplastic
20201004 Set7Sample6_5,orcas,opaque shard,150,non-microplastic
20201004 Set7Sample6_6,orcas,opaque sphereoid,65,non-microplastic
20201004 Set7Sample6_7,orcas,opaque irregular,150,filter paper
20201004 Set7Sample6_9,orcas,opaque irregular,60,non-microplastic
20201004 Set7Sample6_10,orcas,opaque sphereoid,50,fluorescence
20201004 Set7Sample6_12,orcas,opaque sphereoid,150,non-microplastic
